,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,5472,22,785,Croatia,1,3,Fw,7,FW
1,1,5469,9,785,Croatia,1,1,Def,5,CM
2,2,5463,12,785,Croatia,1,2,Mid,5,CM
3,3,5461,1,785,Croatia,1,1,Def,1,RSB
4,4,3444,0,785,Croatia,1,0,GK,0,GK
5,5,5474,20,785,Croatia,1,2,Mid,6,LSM
6,6,5470,14,785,Croatia,1,2,Mid,5,CM
7,7,5457,5,785,Croatia,1,1,Def,3,LSB
8,8,5468,4,785,Croatia,1,1,Def,2,CB
9,9,3471,2,785,Croatia,1,1,Def,2,CB
10,10,5465,16,785,Croatia,1,2,Mid,4,RSM
11,11,5492,4,771,France,1,1,Def,2,CB
12,12,3961,10,771,France,1,1,Def,6,LSM
13,13,3099,0,771,France,1,0,GK,0,GK
14,14,5485,2,771,France,1,1,Def,2,CB
15,15,20004,8,771,France,1,1,Def,4,RSM
16,16,5476,1,771,France,1,1,Def,1,RSB
17,17,4375,15,771,France,1,2,Mid,6,LSM
18,18,5484,5,771,France,1,1,Def,3,LSB
19,19,5463,12,785,Croatia,2,2,Mid,5,CM
20,20,5469,9,785,Croatia,2,1,Def,5,CM
21,21,5470,14,785,Croatia,2,2,Mid,5,CM
22,22,5457,5,785,Croatia,2,1,Def,3,LSB
23,23,5474,20,785,Croatia,2,2,Mid,6,LSM
24,24,5465,16,785,Croatia,2,2,Mid,4,RSM
25,25,5468,4,785,Croatia,2,1,Def,2,CB
26,26,3471,2,785,Croatia,2,1,Def,2,CB
27,27,5461,1,785,Croatia,2,1,Def,1,RSB
28,28,5472,22,785,Croatia,2,3,Fw,7,FW
29,29,5469,9,785,Croatia,3,1,Def,5,CM
30,30,5461,1,785,Croatia,3,1,Def,1,RSB
31,31,5463,12,785,Croatia,3,2,Mid,5,CM
32,32,5470,14,785,Croatia,3,2,Mid,5,CM
33,33,5468,4,785,Croatia,3,1,Def,2,CB
34,34,5457,5,785,Croatia,3,1,Def,3,LSB
35,35,5474,20,785,Croatia,3,2,Mid,6,LSM
36,36,5472,22,785,Croatia,3,3,Fw,7,FW
37,37,5492,4,771,France,3,1,Def,2,CB
38,38,20004,8,771,France,3,1,Def,4,RSM
39,39,3009,11,771,France,3,2,Mid,4,RSM
40,40,5737,10,771,France,3,1,Def,6,LSM
41,41,5485,2,771,France,3,1,Def,2,CB
42,42,5476,1,771,France,3,1,Def,1,RSB
43,43,3604,23,771,France,3,3,Fw,7,FW
44,44,3471,2,785,Croatia,3,1,Def,2,CB
45,45,5468,4,785,Croatia,4,1,Def,2,CB
46,46,5459,5,785,Croatia,4,1,Def,3,LSB
47,47,3471,2,785,Croatia,4,1,Def,2,CB
48,48,5461,1,785,Croatia,4,1,Def,1,RSB
49,49,5469,9,785,Croatia,4,1,Def,5,CM
50,50,5474,20,785,Croatia,4,2,Mid,6,LSM
51,51,5470,14,785,Croatia,4,2,Mid,5,CM
52,52,5463,12,785,Croatia,4,2,Mid,5,CM
53,53,5460,16,785,Croatia,4,2,Mid,4,RSM
54,54,3444,0,785,Croatia,4,0,GK,0,GK
