,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,4319,23,783,Uruguay,1,3,Fw,7,FW
1,1,5259,2,783,Uruguay,1,1,Def,2,CB
2,2,5247,16,783,Uruguay,1,2,Mid,4,RSM
3,3,5255,12,783,Uruguay,1,2,Mid,5,CM
4,4,5264,1,783,Uruguay,1,1,Def,1,RSB
5,5,5249,4,783,Uruguay,1,1,Def,2,CB
6,6,5260,14,783,Uruguay,1,2,Mid,5,CM
7,7,5258,20,783,Uruguay,1,2,Mid,6,LSM
8,8,5248,5,783,Uruguay,1,1,Def,3,LSB
9,9,5261,15,774,Egypt,1,2,Mid,6,LSM
10,10,5263,5,774,Egypt,1,1,Def,3,LSB
11,11,5262,14,774,Egypt,1,2,Mid,5,CM
12,12,5251,18,774,Egypt,1,2,Mid,5,CM
13,13,4063,4,774,Egypt,1,1,Def,2,CB
14,14,5252,22,774,Egypt,1,3,Fw,7,FW
15,15,5246,21,783,Uruguay,1,3,Fw,7,FW
16,16,5267,0,783,Uruguay,1,0,GK,0,GK
17,17,5253,11,774,Egypt,2,2,Mid,4,RSM
18,18,5251,18,774,Egypt,2,2,Mid,5,CM
19,19,5250,1,774,Egypt,2,1,Def,1,RSB
20,20,5262,14,774,Egypt,2,2,Mid,5,CM
21,21,5254,2,774,Egypt,2,1,Def,2,CB
22,22,3568,12,774,Egypt,2,2,Mid,5,CM
23,23,4063,4,774,Egypt,2,1,Def,2,CB
24,24,5261,15,774,Egypt,2,2,Mid,6,LSM
25,25,5265,0,774,Egypt,2,0,GK,0,GK
26,26,5263,5,774,Egypt,2,1,Def,3,LSB
27,27,5248,5,783,Uruguay,2,1,Def,3,LSB
28,28,4319,23,783,Uruguay,2,3,Fw,7,FW
29,29,5264,1,783,Uruguay,2,1,Def,1,RSB
30,30,5259,2,783,Uruguay,2,1,Def,2,CB
31,31,5255,12,783,Uruguay,2,2,Mid,5,CM
32,32,5249,4,783,Uruguay,2,1,Def,2,CB
33,33,5260,14,783,Uruguay,2,2,Mid,5,CM
34,34,5246,21,783,Uruguay,2,3,Fw,7,FW
35,35,5249,4,783,Uruguay,3,1,Def,2,CB
36,36,5255,12,783,Uruguay,3,2,Mid,5,CM
37,37,5267,0,783,Uruguay,3,0,GK,0,GK
38,38,5259,2,783,Uruguay,3,1,Def,2,CB
39,39,5260,14,783,Uruguay,3,2,Mid,5,CM
40,40,4319,23,783,Uruguay,3,3,Fw,7,FW
41,41,5264,1,783,Uruguay,3,1,Def,1,RSB
42,42,5247,16,783,Uruguay,3,2,Mid,4,RSM
43,43,5258,20,783,Uruguay,3,2,Mid,6,LSM
44,44,5248,5,783,Uruguay,3,1,Def,3,LSB
45,45,5246,21,783,Uruguay,3,3,Fw,7,FW
46,46,5261,15,774,Egypt,4,2,Mid,6,LSM
47,47,5263,5,774,Egypt,4,1,Def,3,LSB
48,48,5262,14,774,Egypt,4,2,Mid,5,CM
49,49,3568,12,774,Egypt,4,2,Mid,5,CM
50,50,5251,18,774,Egypt,4,2,Mid,5,CM
51,51,5250,1,774,Egypt,4,1,Def,1,RSB
52,52,5253,11,774,Egypt,4,2,Mid,4,RSM
53,53,5260,14,783,Uruguay,4,2,Mid,5,CM
54,54,5264,1,783,Uruguay,4,1,Def,1,RSB
55,55,5247,16,783,Uruguay,4,2,Mid,4,RSM
56,56,5259,2,783,Uruguay,4,1,Def,2,CB
57,57,5249,4,783,Uruguay,4,1,Def,2,CB
58,58,5255,12,783,Uruguay,4,2,Mid,5,CM
59,59,5258,20,783,Uruguay,4,2,Mid,6,LSM
60,60,5246,21,783,Uruguay,4,3,Fw,7,FW
61,61,5267,0,783,Uruguay,4,0,GK,0,GK
62,62,5264,1,783,Uruguay,5,1,Def,1,RSB
63,63,5249,4,783,Uruguay,5,1,Def,2,CB
64,64,5255,12,783,Uruguay,5,2,Mid,5,CM
65,65,5259,2,783,Uruguay,5,1,Def,2,CB
66,66,5260,14,783,Uruguay,5,2,Mid,5,CM
67,67,5258,20,783,Uruguay,5,2,Mid,6,LSM
68,68,5247,16,783,Uruguay,5,2,Mid,4,RSM
69,69,5267,0,783,Uruguay,5,0,GK,0,GK
70,70,4319,23,783,Uruguay,5,3,Fw,7,FW
71,71,5246,21,783,Uruguay,5,3,Fw,7,FW
72,72,5248,5,783,Uruguay,5,1,Def,3,LSB
73,73,5262,14,774,Egypt,6,2,Mid,5,CM
74,74,5253,11,774,Egypt,6,2,Mid,4,RSM
75,75,5251,18,774,Egypt,6,2,Mid,5,CM
76,76,5263,5,774,Egypt,6,1,Def,3,LSB
77,77,5261,15,774,Egypt,6,2,Mid,6,LSM
78,78,4063,4,774,Egypt,6,1,Def,2,CB
79,79,5254,2,774,Egypt,6,1,Def,2,CB
80,80,5250,1,774,Egypt,6,1,Def,1,RSB
81,81,5252,22,774,Egypt,6,3,Fw,7,FW
82,82,5265,0,774,Egypt,6,0,GK,0,GK
83,83,3878,14,774,Egypt,6,2,Mid,5,CM
84,84,3568,12,774,Egypt,6,2,Mid,5,CM
85,85,5248,5,783,Uruguay,7,1,Def,3,LSB
86,86,5255,12,783,Uruguay,7,2,Mid,5,CM
87,87,5264,1,783,Uruguay,7,1,Def,1,RSB
88,88,5247,16,783,Uruguay,7,2,Mid,4,RSM
89,89,5260,14,783,Uruguay,7,2,Mid,5,CM
90,90,4319,23,783,Uruguay,7,3,Fw,7,FW
91,91,5256,20,783,Uruguay,7,2,Mid,6,LSM
92,92,5268,16,783,Uruguay,7,2,Mid,4,RSM
93,93,5249,4,783,Uruguay,7,1,Def,2,CB
94,94,5267,0,783,Uruguay,7,0,GK,0,GK
95,95,5259,2,783,Uruguay,7,1,Def,2,CB
96,96,5246,21,783,Uruguay,7,3,Fw,7,FW
97,97,5259,2,783,Uruguay,8,1,Def,2,CB
98,98,5255,12,783,Uruguay,8,2,Mid,5,CM
99,99,5260,14,783,Uruguay,8,2,Mid,5,CM
100,100,5249,4,783,Uruguay,8,1,Def,2,CB
101,101,5267,0,783,Uruguay,8,0,GK,0,GK
102,102,5246,21,783,Uruguay,8,3,Fw,7,FW
103,103,5248,5,783,Uruguay,8,1,Def,3,LSB
104,104,5264,1,783,Uruguay,8,1,Def,1,RSB
105,105,5268,16,783,Uruguay,8,2,Mid,4,RSM
106,106,5256,20,783,Uruguay,8,2,Mid,6,LSM
107,107,4319,23,783,Uruguay,8,3,Fw,7,FW
108,108,5250,1,774,Egypt,8,1,Def,1,RSB
109,109,3878,14,774,Egypt,8,2,Mid,5,CM
110,110,5263,5,774,Egypt,8,1,Def,3,LSB
111,111,5253,11,774,Egypt,8,2,Mid,4,RSM
112,112,5257,22,774,Egypt,8,3,Fw,7,FW
113,113,3568,12,774,Egypt,8,2,Mid,5,CM
114,114,5251,18,774,Egypt,8,2,Mid,5,CM
115,115,5268,16,783,Uruguay,9,2,Mid,4,RSM
116,116,5255,12,783,Uruguay,9,2,Mid,5,CM
117,117,5256,20,783,Uruguay,9,2,Mid,6,LSM
118,118,5248,5,783,Uruguay,9,1,Def,3,LSB
119,119,5264,1,783,Uruguay,9,1,Def,1,RSB
120,120,5260,14,783,Uruguay,9,2,Mid,5,CM
121,121,4319,23,783,Uruguay,9,3,Fw,7,FW
122,122,5246,21,783,Uruguay,9,3,Fw,7,FW
123,123,5249,4,783,Uruguay,9,1,Def,2,CB
124,124,5267,0,783,Uruguay,9,0,GK,0,GK
125,125,5259,2,783,Uruguay,9,1,Def,2,CB
126,126,4063,4,774,Egypt,10,1,Def,2,CB
127,127,5265,0,774,Egypt,10,0,GK,0,GK
128,128,5254,2,774,Egypt,10,1,Def,2,CB
129,129,3878,14,774,Egypt,10,2,Mid,5,CM
130,130,5250,1,774,Egypt,10,1,Def,1,RSB
131,131,5251,18,774,Egypt,10,2,Mid,5,CM
132,132,5253,11,774,Egypt,10,2,Mid,4,RSM
133,133,3568,12,774,Egypt,10,2,Mid,5,CM
134,134,5263,5,774,Egypt,10,1,Def,3,LSB
135,135,5257,22,774,Egypt,10,3,Fw,7,FW
136,136,5261,15,774,Egypt,10,2,Mid,6,LSM
137,137,5249,4,783,Uruguay,10,1,Def,2,CB
138,138,5255,12,783,Uruguay,10,2,Mid,5,CM
139,139,5259,2,783,Uruguay,10,1,Def,2,CB
140,140,5260,14,783,Uruguay,10,2,Mid,5,CM
141,141,5248,5,783,Uruguay,10,1,Def,3,LSB
142,142,5256,20,783,Uruguay,10,2,Mid,6,LSM
143,143,4319,23,783,Uruguay,10,3,Fw,7,FW
144,144,5246,21,783,Uruguay,10,3,Fw,7,FW
145,145,5268,16,783,Uruguay,10,2,Mid,4,RSM
146,146,5264,1,783,Uruguay,10,1,Def,1,RSB
147,147,3536,11,774,Egypt,10,2,Mid,4,RSM
148,148,5248,5,783,Uruguay,11,1,Def,3,LSB
149,149,5260,14,783,Uruguay,11,2,Mid,5,CM
150,150,4319,23,783,Uruguay,11,3,Fw,7,FW
151,151,5256,20,783,Uruguay,11,2,Mid,6,LSM
152,152,5246,21,783,Uruguay,11,3,Fw,7,FW
153,153,5249,4,783,Uruguay,11,1,Def,2,CB
154,154,5267,0,783,Uruguay,11,0,GK,0,GK
155,155,5266,12,783,Uruguay,11,2,Mid,5,CM
156,156,5268,16,783,Uruguay,11,2,Mid,4,RSM
157,157,5264,1,783,Uruguay,11,1,Def,1,RSB
158,158,5259,2,783,Uruguay,11,1,Def,2,CB
159,159,5571,20,794,Mexico,11,2,Mid,6,LSM
160,160,5575,8,794,Mexico,11,1,Def,4,RSM
161,161,5567,1,794,Mexico,11,1,Def,1,RSB
162,162,5564,2,794,Mexico,11,1,Def,2,CB
163,163,5573,4,794,Mexico,11,1,Def,2,CB
164,164,5576,5,794,Mexico,11,1,Def,3,LSB
165,165,5577,0,794,Mexico,11,0,GK,0,GK
166,166,5556,16,794,Mexico,11,2,Mid,4,RSM
167,167,5560,18,794,Mexico,11,2,Mid,5,CM
168,168,5563,10,794,Mexico,11,1,Def,6,LSM
169,169,3058,22,794,Mexico,11,3,Fw,7,FW
170,170,5560,18,794,Mexico,12,2,Mid,5,CM
171,171,3058,22,794,Mexico,12,3,Fw,7,FW
172,172,5567,1,794,Mexico,12,1,Def,1,RSB
173,173,5563,10,794,Mexico,12,1,Def,6,LSM
174,174,5564,2,794,Mexico,12,1,Def,2,CB
175,175,5573,4,794,Mexico,12,1,Def,2,CB
176,176,5576,5,794,Mexico,12,1,Def,3,LSB
177,177,5577,0,794,Mexico,12,0,GK,0,GK
178,178,5575,8,794,Mexico,12,1,Def,4,RSM
179,179,5571,20,794,Mexico,12,2,Mid,6,LSM
180,180,5556,16,794,Mexico,12,2,Mid,4,RSM
181,181,5563,10,794,Mexico,13,1,Def,6,LSM
182,182,5575,8,794,Mexico,13,1,Def,4,RSM
183,183,5577,0,794,Mexico,13,0,GK,0,GK
184,184,5576,5,794,Mexico,13,1,Def,3,LSB
185,185,5560,18,794,Mexico,13,2,Mid,5,CM
186,186,5567,1,794,Mexico,13,1,Def,1,RSB
187,187,5556,16,794,Mexico,13,2,Mid,4,RSM
188,188,5564,2,794,Mexico,13,1,Def,2,CB
189,189,5573,4,794,Mexico,13,1,Def,2,CB
190,190,5571,20,794,Mexico,13,2,Mid,6,LSM
191,191,5608,1,791,South Korea,14,1,Def,1,RSB
192,192,5606,2,791,South Korea,14,1,Def,2,CB
193,193,5988,8,791,South Korea,14,1,Def,4,RSM
194,194,5604,4,791,South Korea,14,1,Def,2,CB
195,195,5610,5,791,South Korea,14,1,Def,3,LSB
196,196,5623,18,791,South Korea,14,2,Mid,5,CM
197,197,5620,20,791,South Korea,14,2,Mid,6,LSM
198,198,5576,5,794,Mexico,14,1,Def,3,LSB
199,199,3058,22,794,Mexico,14,3,Fw,7,FW
200,200,5573,4,794,Mexico,14,1,Def,2,CB
201,201,5564,2,794,Mexico,14,1,Def,2,CB
202,202,5567,1,794,Mexico,14,1,Def,1,RSB
