,nullid,toid,nullpos,topos,period
0,0,50,18,18,4
0,1,75,18,18,6
0,2,114,18,18,8
0,3,112,22,22,8
0,4,135,22,22,10
0,5,131,18,18,10
0,6,218,0,0,15
0,6,229,0,0,15
0,7,294,0,0,19
0,7,295,0,0,19
0,8,294,0,0,19
0,8,295,0,0,19
0,9,351,0,0,22
0,10,351,0,0,22
0,11,394,0,0,25
0,11,407,0,0,25
0,12,406,22,22,25
0,13,403,18,18,25
0,14,449,0,0,28
0,14,455,0,0,28
0,15,489,0,0,30
0,16,489,0,0,30
0,17,602,0,0,37
0,17,603,0,0,37
0,18,632,22,22,39
0,18,643,22,22,39
0,18,651,22,22,39
0,19,632,22,22,39
0,19,643,22,22,39
0,19,651,22,22,39
0,20,683,3,3,41
0,21,710,3,3,44
0,22,789,0,0,48
0,23,974,3,3,58
0,24,882,2,2,53
0,24,887,2,2,53
0,24,893,2,2,53
0,25,876,1,1,53
0,25,888,1,1,53
0,25,896,1,1,53
0,26,876,1,1,53
0,26,888,1,1,53
0,26,896,1,1,53
0,27,882,2,2,53
0,27,887,2,2,53
0,27,893,2,2,53
0,28,1313,18,18,81
0,29,965,0,0,58
0,30,990,20,20,59
0,31,989,16,16,59
0,32,992,23,23,59
0,33,986,21,21,59
0,34,1034,22,22,62
0,35,1105,22,22,68
0,36,1106,9,9,68
0,37,1070,0,0,65
0,38,1122,0,0,69
0,39,1183,0,0,74
0,40,1242,16,16,77
0,40,1247,16,16,77
0,40,1255,16,16,77
0,41,1264,22,22,78
0,42,1242,16,16,77
0,42,1247,16,16,77
0,42,1255,16,16,77
0,43,1282,0,0,79
0,44,1383,0,0,84
0,45,1383,0,0,84
0,46,1435,0,0,88
0,47,1492,0,0,91
0,48,1522,0,0,94
0,49,1719,0,0,108
0,50,1719,0,0,108
0,51,1723,22,22,109
0,52,1783,0,0,112
0,53,1783,0,0,112
0,54,1812,22,22,114
0,55,1836,0,0,115
0,56,1842,22,22,116
0,56,1854,22,22,116
0,57,1877,0,0,118
0,58,1925,0,0,121
0,59,1915,9,9,121
0,60,2118,9,9,133
0,61,2025,0,0,127
0,62,2068,0,0,129
0,63,2129,0,0,134
0,63,2137,0,0,134
0,64,2282,9,9,142
0,65,2580,9,9,158
0,66,2401,0,0,149
0,67,2636,3,3,161
0,68,2592,0,0,159
0,69,2667,16,16,163
0,70,2667,16,16,163
0,71,2676,22,22,164
0,72,2676,22,22,164
0,73,2709,0,0,167
0,74,2708,12,12,167
0,75,2842,0,0,176
0,76,2943,0,0,182
0,77,2983,0,0,185
0,77,2994,0,0,185
0,78,2983,0,0,185
0,78,2994,0,0,185
0,79,3025,0,0,187
0,80,3025,0,0,187
0,81,3076,22,22,190
0,82,3076,22,22,190
0,83,3100,0,0,193
0,84,3147,20,20,196
0,85,3221,3,3,201
0,86,3251,3,3,203
0,87,3246,0,0,203
0,87,3260,0,0,203
0,88,3436,0,0,213
0,88,3457,0,0,213
0,89,3631,0,0,224
0,90,3670,0,0,226
0,90,3679,0,0,226
0,91,3678,22,22,226
0,92,4244,9,9,259
0,93,3838,0,0,235
0,94,3838,0,0,235
0,95,3863,0,0,237
0,96,3939,0,0,241
0,97,3939,0,0,241
0,98,3955,3,3,242
0,99,3961,0,0,243
0,100,3994,15,15,244
0,101,4024,0,0,246
0,102,4110,0,0,251
0,103,4146,16,16,254
0,104,4140,17,17,253
