,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,4319,23,783,Uruguay,1,3,Fw,7,FW
1,1,5259,2,783,Uruguay,1,1,Def,2,CB
2,2,5247,16,783,Uruguay,1,2,Mid,4,RSM
3,3,5255,12,783,Uruguay,1,2,Mid,5,CM
4,4,5264,1,783,Uruguay,1,1,Def,1,RSB
5,5,5249,4,783,Uruguay,1,1,Def,2,CB
6,6,5260,14,783,Uruguay,1,2,Mid,5,CM
7,7,5258,20,783,Uruguay,1,2,Mid,6,LSM
8,8,5248,5,783,Uruguay,1,1,Def,3,LSB
9,9,5246,21,783,Uruguay,1,3,Fw,7,FW
10,10,5263,5,774,Egypt,1,1,Def,3,LSB
11,11,4063,4,774,Egypt,1,1,Def,2,CB
12,12,5254,2,774,Egypt,1,1,Def,2,CB
13,13,3568,12,774,Egypt,1,2,Mid,5,CM
14,14,5253,11,774,Egypt,1,2,Mid,4,RSM
15,15,5261,15,774,Egypt,1,2,Mid,6,LSM
16,16,5261,15,774,Egypt,2,2,Mid,6,LSM
17,17,5263,5,774,Egypt,2,1,Def,3,LSB
18,18,5262,14,774,Egypt,2,2,Mid,5,CM
19,19,5251,18,774,Egypt,2,2,Mid,5,CM
20,20,4063,4,774,Egypt,2,1,Def,2,CB
21,21,5252,22,774,Egypt,2,3,Fw,7,FW
22,22,3568,12,774,Egypt,2,2,Mid,5,CM
23,23,5254,2,774,Egypt,2,1,Def,2,CB
24,24,5247,16,783,Uruguay,2,2,Mid,4,RSM
25,25,5246,21,783,Uruguay,2,3,Fw,7,FW
26,26,5255,12,783,Uruguay,2,2,Mid,5,CM
27,27,4319,23,783,Uruguay,2,3,Fw,7,FW
28,28,5248,5,783,Uruguay,2,1,Def,3,LSB
29,29,5259,2,783,Uruguay,2,1,Def,2,CB
30,30,5249,4,783,Uruguay,2,1,Def,2,CB
31,31,5267,0,783,Uruguay,2,0,GK,0,GK
32,32,5260,14,783,Uruguay,2,2,Mid,5,CM
33,33,5258,20,783,Uruguay,2,2,Mid,6,LSM
34,34,5262,14,774,Egypt,3,2,Mid,5,CM
35,35,4063,4,774,Egypt,3,1,Def,2,CB
36,36,5254,2,774,Egypt,3,1,Def,2,CB
37,37,5251,18,774,Egypt,3,2,Mid,5,CM
38,38,5252,22,774,Egypt,3,3,Fw,7,FW
39,39,5253,11,774,Egypt,3,2,Mid,4,RSM
40,40,5250,1,774,Egypt,3,1,Def,1,RSB
41,41,3568,12,774,Egypt,3,2,Mid,5,CM
42,42,5261,15,774,Egypt,3,2,Mid,6,LSM
43,43,5265,0,774,Egypt,3,0,GK,0,GK
44,44,5263,5,774,Egypt,3,1,Def,3,LSB
45,45,5248,5,783,Uruguay,4,1,Def,3,LSB
46,46,4319,23,783,Uruguay,4,3,Fw,7,FW
47,47,5264,1,783,Uruguay,4,1,Def,1,RSB
48,48,5259,2,783,Uruguay,4,1,Def,2,CB
49,49,5255,12,783,Uruguay,4,2,Mid,5,CM
50,50,5249,4,783,Uruguay,4,1,Def,2,CB
51,51,5260,14,783,Uruguay,4,2,Mid,5,CM
52,52,5246,21,783,Uruguay,4,3,Fw,7,FW
53,53,5251,18,774,Egypt,4,2,Mid,5,CM
54,54,5254,2,774,Egypt,4,1,Def,2,CB
55,55,5253,11,774,Egypt,4,2,Mid,4,RSM
56,56,5261,15,774,Egypt,4,2,Mid,6,LSM
57,57,5250,1,774,Egypt,4,1,Def,1,RSB
58,58,5267,0,783,Uruguay,4,0,GK,0,GK
59,59,5247,16,783,Uruguay,4,2,Mid,4,RSM
60,60,5258,20,783,Uruguay,4,2,Mid,6,LSM
61,61,5259,2,783,Uruguay,5,1,Def,2,CB
62,62,5255,12,783,Uruguay,5,2,Mid,5,CM
63,63,5249,4,783,Uruguay,5,1,Def,2,CB
64,64,5260,14,783,Uruguay,5,2,Mid,5,CM
65,65,5264,1,783,Uruguay,5,1,Def,1,RSB
66,66,5267,0,783,Uruguay,5,0,GK,0,GK
67,67,5248,5,783,Uruguay,5,1,Def,3,LSB
68,68,5258,20,783,Uruguay,5,2,Mid,6,LSM
69,69,5247,16,783,Uruguay,5,2,Mid,4,RSM
70,70,4319,23,783,Uruguay,5,3,Fw,7,FW
71,71,5246,21,783,Uruguay,5,3,Fw,7,FW
72,72,5250,1,774,Egypt,6,1,Def,1,RSB
73,73,5251,18,774,Egypt,6,2,Mid,5,CM
74,74,5253,11,774,Egypt,6,2,Mid,4,RSM
75,75,4063,4,774,Egypt,6,1,Def,2,CB
76,76,5265,0,774,Egypt,6,0,GK,0,GK
77,77,5264,1,783,Uruguay,6,1,Def,1,RSB
78,78,5249,4,783,Uruguay,6,1,Def,2,CB
79,79,5259,2,783,Uruguay,6,1,Def,2,CB
80,80,5260,14,783,Uruguay,6,2,Mid,5,CM
81,81,5248,5,783,Uruguay,6,1,Def,3,LSB
82,82,5255,12,783,Uruguay,6,2,Mid,5,CM
83,83,5247,16,783,Uruguay,6,2,Mid,4,RSM
84,84,5246,21,783,Uruguay,6,3,Fw,7,FW
85,85,5258,20,783,Uruguay,6,2,Mid,6,LSM
86,86,4319,23,783,Uruguay,6,3,Fw,7,FW
87,87,5261,15,774,Egypt,7,2,Mid,6,LSM
88,88,5263,5,774,Egypt,7,1,Def,3,LSB
89,89,5262,14,774,Egypt,7,2,Mid,5,CM
90,90,3568,12,774,Egypt,7,2,Mid,5,CM
91,91,5251,18,774,Egypt,7,2,Mid,5,CM
92,92,5250,1,774,Egypt,7,1,Def,1,RSB
93,93,5253,11,774,Egypt,7,2,Mid,4,RSM
94,94,5260,14,783,Uruguay,7,2,Mid,5,CM
95,95,5264,1,783,Uruguay,7,1,Def,1,RSB
96,96,5247,16,783,Uruguay,7,2,Mid,4,RSM
97,97,5259,2,783,Uruguay,7,1,Def,2,CB
98,98,5249,4,783,Uruguay,7,1,Def,2,CB
99,99,5255,12,783,Uruguay,7,2,Mid,5,CM
100,100,5258,20,783,Uruguay,7,2,Mid,6,LSM
101,101,5246,21,783,Uruguay,7,3,Fw,7,FW
102,102,5265,0,774,Egypt,8,0,GK,0,GK
103,103,5261,15,774,Egypt,8,2,Mid,6,LSM
104,104,5251,18,774,Egypt,8,2,Mid,5,CM
105,105,3568,12,774,Egypt,8,2,Mid,5,CM
106,106,5263,5,774,Egypt,8,1,Def,3,LSB
107,107,5254,2,774,Egypt,8,1,Def,2,CB
108,108,5262,14,774,Egypt,8,2,Mid,5,CM
109,109,4063,4,774,Egypt,8,1,Def,2,CB
110,110,5252,22,774,Egypt,8,3,Fw,7,FW
111,111,5249,4,783,Uruguay,8,1,Def,2,CB
112,112,5259,2,783,Uruguay,8,1,Def,2,CB
113,113,5260,14,783,Uruguay,8,2,Mid,5,CM
114,114,5248,5,783,Uruguay,8,1,Def,3,LSB
115,115,5258,20,783,Uruguay,8,2,Mid,6,LSM
116,116,5255,12,783,Uruguay,8,2,Mid,5,CM
117,117,5255,12,783,Uruguay,9,2,Mid,5,CM
118,118,5264,1,783,Uruguay,9,1,Def,1,RSB
119,119,5247,16,783,Uruguay,9,2,Mid,4,RSM
120,120,5246,21,783,Uruguay,9,3,Fw,7,FW
121,121,5260,14,783,Uruguay,9,2,Mid,5,CM
122,122,5258,20,783,Uruguay,9,2,Mid,6,LSM
123,123,5265,0,774,Egypt,9,0,GK,0,GK
124,124,5251,18,774,Egypt,9,2,Mid,5,CM
125,125,5263,5,774,Egypt,9,1,Def,3,LSB
126,126,4063,4,774,Egypt,9,1,Def,2,CB
127,127,5262,14,774,Egypt,9,2,Mid,5,CM
128,128,5249,4,783,Uruguay,9,1,Def,2,CB
129,129,5267,0,783,Uruguay,9,0,GK,0,GK
130,130,5264,1,783,Uruguay,10,1,Def,1,RSB
131,131,5249,4,783,Uruguay,10,1,Def,2,CB
132,132,5255,12,783,Uruguay,10,2,Mid,5,CM
133,133,5259,2,783,Uruguay,10,1,Def,2,CB
134,134,5260,14,783,Uruguay,10,2,Mid,5,CM
135,135,5258,20,783,Uruguay,10,2,Mid,6,LSM
136,136,5247,16,783,Uruguay,10,2,Mid,4,RSM
137,137,5267,0,783,Uruguay,10,0,GK,0,GK
138,138,4319,23,783,Uruguay,10,3,Fw,7,FW
139,139,5246,21,783,Uruguay,10,3,Fw,7,FW
140,140,3568,12,774,Egypt,10,2,Mid,5,CM
141,141,5261,15,774,Egypt,10,2,Mid,6,LSM
142,142,5263,5,774,Egypt,10,1,Def,3,LSB
143,143,5262,14,774,Egypt,10,2,Mid,5,CM
144,144,5251,18,774,Egypt,10,2,Mid,5,CM
145,145,5252,22,774,Egypt,10,3,Fw,7,FW
146,146,5259,2,783,Uruguay,11,1,Def,2,CB
147,147,5249,4,783,Uruguay,11,1,Def,2,CB
148,148,5255,12,783,Uruguay,11,2,Mid,5,CM
149,149,5247,16,783,Uruguay,11,2,Mid,4,RSM
150,150,5260,14,783,Uruguay,11,2,Mid,5,CM
151,151,5248,5,783,Uruguay,11,1,Def,3,LSB
152,152,5264,1,783,Uruguay,11,1,Def,1,RSB
153,153,5246,21,783,Uruguay,11,3,Fw,7,FW
154,154,5263,5,774,Egypt,11,1,Def,3,LSB
155,155,5261,15,774,Egypt,11,2,Mid,6,LSM
156,156,3568,12,774,Egypt,11,2,Mid,5,CM
157,157,5251,18,774,Egypt,11,2,Mid,5,CM
158,158,5250,1,774,Egypt,11,1,Def,1,RSB
159,159,5262,14,774,Egypt,11,2,Mid,5,CM
160,160,5252,22,774,Egypt,11,3,Fw,7,FW
161,161,5259,2,783,Uruguay,12,1,Def,2,CB
162,162,5249,4,783,Uruguay,12,1,Def,2,CB
163,163,5260,14,783,Uruguay,12,2,Mid,5,CM
164,164,5258,20,783,Uruguay,12,2,Mid,6,LSM
165,165,5246,21,783,Uruguay,12,3,Fw,7,FW
166,166,5264,1,783,Uruguay,12,1,Def,1,RSB
167,167,5247,16,783,Uruguay,12,2,Mid,4,RSM
168,168,5262,14,774,Egypt,12,2,Mid,5,CM
169,169,5253,11,774,Egypt,12,2,Mid,4,RSM
170,170,5251,18,774,Egypt,12,2,Mid,5,CM
171,171,5263,5,774,Egypt,12,1,Def,3,LSB
172,172,5261,15,774,Egypt,12,2,Mid,6,LSM
173,173,4063,4,774,Egypt,12,1,Def,2,CB
174,174,5254,2,774,Egypt,12,1,Def,2,CB
175,175,5250,1,774,Egypt,12,1,Def,1,RSB
176,176,5252,22,774,Egypt,12,3,Fw,7,FW
177,177,5248,5,783,Uruguay,12,1,Def,3,LSB
178,178,4319,23,783,Uruguay,12,3,Fw,7,FW
179,179,5264,1,783,Uruguay,13,1,Def,1,RSB
180,180,5259,2,783,Uruguay,13,1,Def,2,CB
181,181,5255,12,783,Uruguay,13,2,Mid,5,CM
182,182,5247,16,783,Uruguay,13,2,Mid,4,RSM
183,183,5246,21,783,Uruguay,13,3,Fw,7,FW
184,184,5260,14,783,Uruguay,13,2,Mid,5,CM
185,185,5248,5,783,Uruguay,13,1,Def,3,LSB
186,186,5263,5,774,Egypt,13,1,Def,3,LSB
187,187,5252,22,774,Egypt,13,3,Fw,7,FW
188,188,5261,15,774,Egypt,13,2,Mid,6,LSM
189,189,5251,18,774,Egypt,13,2,Mid,5,CM
190,190,5264,1,783,Uruguay,14,1,Def,1,RSB
191,191,5255,12,783,Uruguay,14,2,Mid,5,CM
192,192,5247,16,783,Uruguay,14,2,Mid,4,RSM
193,193,5246,21,783,Uruguay,14,3,Fw,7,FW
194,194,4319,23,783,Uruguay,14,3,Fw,7,FW
195,195,3568,12,774,Egypt,14,2,Mid,5,CM
196,196,5261,15,774,Egypt,14,2,Mid,6,LSM
197,197,3878,14,774,Egypt,14,2,Mid,5,CM
198,198,5250,1,774,Egypt,14,1,Def,1,RSB
199,199,5252,22,774,Egypt,14,3,Fw,7,FW
200,200,5251,18,774,Egypt,14,2,Mid,5,CM
201,201,5265,0,774,Egypt,14,0,GK,0,GK
202,202,4063,4,774,Egypt,14,1,Def,2,CB
