,gid,plaid,posid,teamid,teamname,period,newpos,newposname,8pos,8posname
0,0,5472,22,785,Croatia,1,3,Fw,7,FW
1,1,5469,9,785,Croatia,1,1,Def,5,CM
2,2,5463,12,785,Croatia,1,2,Mid,5,CM
3,3,5461,1,785,Croatia,1,1,Def,1,RSB
4,4,3444,0,785,Croatia,1,0,GK,0,GK
5,5,5474,20,785,Croatia,1,2,Mid,6,LSM
6,6,5470,14,785,Croatia,1,2,Mid,5,CM
7,7,5457,5,785,Croatia,1,1,Def,3,LSB
8,8,5468,4,785,Croatia,1,1,Def,2,CB
9,9,3471,2,785,Croatia,1,1,Def,2,CB
10,10,5465,16,785,Croatia,1,2,Mid,4,RSM
11,11,5492,4,771,France,1,1,Def,2,CB
12,12,3961,10,771,France,1,1,Def,6,LSM
13,13,3099,0,771,France,1,0,GK,0,GK
14,14,5485,2,771,France,1,1,Def,2,CB
15,15,20004,8,771,France,1,1,Def,4,RSM
16,16,5476,1,771,France,1,1,Def,1,RSB
17,17,4375,15,771,France,1,2,Mid,6,LSM
18,18,5484,5,771,France,1,1,Def,3,LSB
19,19,5463,12,785,Croatia,2,2,Mid,5,CM
20,20,5469,9,785,Croatia,2,1,Def,5,CM
21,21,5470,14,785,Croatia,2,2,Mid,5,CM
22,22,5457,5,785,Croatia,2,1,Def,3,LSB
23,23,5474,20,785,Croatia,2,2,Mid,6,LSM
24,24,5465,16,785,Croatia,2,2,Mid,4,RSM
25,25,5468,4,785,Croatia,2,1,Def,2,CB
26,26,3471,2,785,Croatia,2,1,Def,2,CB
27,27,5461,1,785,Croatia,2,1,Def,1,RSB
28,28,5472,22,785,Croatia,2,3,Fw,7,FW
29,29,3444,0,785,Croatia,2,0,GK,0,GK
30,30,5469,9,785,Croatia,3,1,Def,5,CM
31,31,5463,12,785,Croatia,3,2,Mid,5,CM
32,32,5461,1,785,Croatia,3,1,Def,1,RSB
33,33,3471,2,785,Croatia,3,1,Def,2,CB
34,34,5468,4,785,Croatia,3,1,Def,2,CB
35,35,5472,22,785,Croatia,3,3,Fw,7,FW
36,36,5470,14,785,Croatia,3,2,Mid,5,CM
37,37,5465,16,785,Croatia,3,2,Mid,4,RSM
38,38,5457,5,785,Croatia,3,1,Def,3,LSB
39,39,5474,20,785,Croatia,3,2,Mid,6,LSM
40,40,5469,9,785,Croatia,4,1,Def,5,CM
41,41,5468,4,785,Croatia,4,1,Def,2,CB
42,42,5474,20,785,Croatia,4,2,Mid,6,LSM
43,43,5463,12,785,Croatia,4,2,Mid,5,CM
44,44,5461,1,785,Croatia,4,1,Def,1,RSB
45,45,3471,2,785,Croatia,4,1,Def,2,CB
46,46,5470,14,785,Croatia,4,2,Mid,5,CM
47,47,5465,16,785,Croatia,4,2,Mid,4,RSM
48,48,5457,5,785,Croatia,4,1,Def,3,LSB
49,49,5472,22,785,Croatia,4,3,Fw,7,FW
50,50,5492,4,771,France,4,1,Def,2,CB
51,51,20004,8,771,France,4,1,Def,4,RSM
52,52,3009,11,771,France,4,2,Mid,4,RSM
53,53,5737,10,771,France,4,1,Def,6,LSM
54,54,5485,2,771,France,4,1,Def,2,CB
55,55,5476,1,771,France,4,1,Def,1,RSB
56,56,3604,23,771,France,4,3,Fw,7,FW
57,57,5463,12,785,Croatia,5,2,Mid,5,CM
58,58,5469,9,785,Croatia,5,1,Def,5,CM
59,59,5468,4,785,Croatia,5,1,Def,2,CB
60,60,5460,16,785,Croatia,5,2,Mid,4,RSM
61,61,5470,14,785,Croatia,5,2,Mid,5,CM
62,62,5472,22,785,Croatia,5,3,Fw,7,FW
63,63,3471,2,785,Croatia,5,1,Def,2,CB
64,64,5461,1,785,Croatia,5,1,Def,1,RSB
65,65,5457,5,785,Croatia,5,1,Def,3,LSB
66,66,3444,0,785,Croatia,5,0,GK,0,GK
67,67,5474,20,785,Croatia,5,2,Mid,6,LSM
68,68,5459,5,785,Croatia,5,1,Def,3,LSB
69,69,5461,1,785,Croatia,6,1,Def,1,RSB
70,70,5463,12,785,Croatia,6,2,Mid,5,CM
71,71,5469,9,785,Croatia,6,1,Def,5,CM
72,72,5460,16,785,Croatia,6,2,Mid,4,RSM
73,73,5470,14,785,Croatia,6,2,Mid,5,CM
74,74,5474,20,785,Croatia,6,2,Mid,6,LSM
75,75,3444,0,785,Croatia,6,0,GK,0,GK
76,76,5468,4,785,Croatia,6,1,Def,2,CB
77,77,5459,5,785,Croatia,6,1,Def,3,LSB
78,78,3471,2,785,Croatia,6,1,Def,2,CB
