,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid
0,0,22,9,5472,5469,785,Croatia,1,1,8658,0,1
1,1,12,1,5463,5461,785,Croatia,1,1,8658,2,3
2,2,0,22,3444,5472,785,Croatia,1,1,8658,4,0
3,3,20,14,5474,5470,785,Croatia,1,1,8658,5,6
4,4,14,5,5470,5457,785,Croatia,1,1,8658,6,7
5,5,5,9,5457,5469,785,Croatia,1,1,8658,7,1
6,6,9,20,5469,5474,785,Croatia,1,1,8658,1,5
7,7,20,4,5474,5468,785,Croatia,1,1,8658,5,8
8,8,4,12,5468,5463,785,Croatia,1,1,8658,8,2
9,9,12,4,5463,5468,785,Croatia,1,1,8658,2,8
10,10,4,14,5468,5470,785,Croatia,1,1,8658,8,6
11,11,14,4,5470,5468,785,Croatia,1,1,8658,6,8
12,12,4,2,5468,3471,785,Croatia,1,1,8658,8,9
13,13,14,20,5470,5474,785,Croatia,1,1,8658,6,5
14,14,9,5,5469,5457,785,Croatia,2,1,8658,1,7
15,15,5,22,5457,5472,785,Croatia,2,1,8658,7,0
16,16,5,22,5457,5472,785,Croatia,2,1,8658,7,0
17,17,22,14,5472,5470,785,Croatia,2,1,8658,0,6
18,18,9,4,5469,5468,785,Croatia,2,1,8658,1,8
19,19,4,9,5468,5469,785,Croatia,2,1,8658,8,1
20,20,9,14,5469,5470,785,Croatia,2,1,8658,1,6
21,21,14,9,5470,5469,785,Croatia,2,1,8658,6,1
22,22,9,2,5469,3471,785,Croatia,2,1,8658,1,9
23,23,2,4,3471,5468,785,Croatia,2,1,8658,9,8
24,24,4,14,5468,5470,785,Croatia,2,1,8658,8,6
25,25,14,16,5470,5465,785,Croatia,2,1,8658,6,10
26,26,16,1,5465,5461,785,Croatia,2,1,8658,10,3
27,27,16,1,5465,5461,785,Croatia,2,1,8658,10,3
28,28,1,14,5461,5470,785,Croatia,2,1,8658,3,6
29,29,1,12,5461,5463,785,Croatia,2,1,8658,3,2
30,30,12,1,5463,5461,785,Croatia,2,1,8658,2,3
31,31,4,10,5492,3961,771,France,3,1,8658,11,12
32,32,0,2,3099,5485,771,France,3,1,8658,13,14
33,33,2,8,5485,20004,771,France,3,1,8658,14,15
34,34,8,4,20004,5492,771,France,3,1,8658,15,11
35,35,4,10,5492,3961,771,France,3,1,8658,11,12
36,36,10,4,3961,5492,771,France,3,1,8658,12,11
37,37,4,10,5492,3961,771,France,3,1,8658,11,12
38,38,10,8,3961,20004,771,France,3,1,8658,12,15
39,39,8,1,20004,5476,771,France,3,1,8658,15,16
40,40,1,2,5476,5485,771,France,3,1,8658,16,14
41,41,2,4,5485,5492,771,France,3,1,8658,14,11
42,42,4,15,5492,4375,771,France,3,1,8658,11,17
43,43,15,5,4375,5484,771,France,3,1,8658,17,18
44,44,12,9,5463,5469,785,Croatia,4,2,8658,19,20
45,45,14,12,5470,5463,785,Croatia,4,2,8658,21,19
46,46,12,5,5463,5457,785,Croatia,4,2,8658,19,22
47,47,5,20,5457,5474,785,Croatia,4,2,8658,22,23
48,48,20,16,5474,5465,785,Croatia,4,2,8658,23,24
49,49,9,4,5469,5468,785,Croatia,4,2,8658,20,25
50,50,4,9,5468,5469,785,Croatia,4,2,8658,25,20
51,51,9,14,5469,5470,785,Croatia,4,2,8658,20,21
52,52,14,9,5470,5469,785,Croatia,4,2,8658,21,20
53,53,9,2,5469,3471,785,Croatia,4,2,8658,20,26
54,54,2,12,3471,5463,785,Croatia,4,2,8658,26,19
55,55,12,1,5463,5461,785,Croatia,4,2,8658,19,27
56,56,1,2,5461,3471,785,Croatia,4,2,8658,27,26
57,57,2,9,3471,5469,785,Croatia,4,2,8658,26,20
58,58,9,1,5469,5461,785,Croatia,4,2,8658,20,27
59,59,12,2,5463,3471,785,Croatia,4,2,8658,19,26
60,60,2,9,3471,5469,785,Croatia,4,2,8658,26,20
61,61,9,14,5469,5470,785,Croatia,4,2,8658,20,21
62,62,14,20,5470,5474,785,Croatia,4,2,8658,21,23
63,63,2,9,3471,5469,785,Croatia,5,2,8658,26,20
64,64,9,14,5469,5470,785,Croatia,5,2,8658,20,21
65,65,14,2,5470,3471,785,Croatia,5,2,8658,21,26
66,66,2,1,3471,5461,785,Croatia,5,2,8658,26,27
67,67,1,2,5461,3471,785,Croatia,5,2,8658,27,26
68,68,2,20,3471,5474,785,Croatia,5,2,8658,26,23
69,69,20,12,5474,5463,785,Croatia,5,2,8658,23,19
70,70,12,16,5463,5465,785,Croatia,5,2,8658,19,24
71,71,16,1,5465,5461,785,Croatia,5,2,8658,24,27
72,72,14,22,5470,5472,785,Croatia,5,2,8658,21,28
73,73,22,14,5472,5470,785,Croatia,5,2,8658,28,21
74,74,14,20,5470,5474,785,Croatia,5,2,8658,21,23
75,75,20,16,5474,5465,785,Croatia,5,2,8658,23,24
76,76,4,2,5468,3471,785,Croatia,5,2,8658,25,26
77,77,2,12,3471,5463,785,Croatia,5,2,8658,26,19
78,78,12,1,5463,5461,785,Croatia,5,2,8658,19,27
79,79,1,2,5461,3471,785,Croatia,5,2,8658,27,26
80,80,2,12,3471,5463,785,Croatia,5,2,8658,26,19
81,81,2,9,3471,5469,785,Croatia,5,2,8658,26,20
82,82,9,12,5469,5463,785,Croatia,5,2,8658,20,19
83,83,12,1,5463,5461,785,Croatia,5,2,8658,19,27
84,84,2,9,3471,5469,785,Croatia,6,2,8658,26,20
85,85,9,16,5469,5465,785,Croatia,6,2,8658,20,24
86,86,12,4,5463,5468,785,Croatia,6,2,8658,19,25
87,87,4,14,5468,5470,785,Croatia,6,2,8658,25,21
88,88,14,9,5470,5469,785,Croatia,6,2,8658,21,20
89,89,9,2,5469,3471,785,Croatia,6,2,8658,20,26
90,90,2,1,3471,5461,785,Croatia,6,2,8658,26,27
91,91,1,2,5461,3471,785,Croatia,6,2,8658,27,26
92,92,2,9,3471,5469,785,Croatia,6,2,8658,26,20
93,93,9,4,5469,5468,785,Croatia,6,2,8658,20,25
94,94,4,5,5468,5457,785,Croatia,6,2,8658,25,22
95,95,5,20,5457,5474,785,Croatia,6,2,8658,22,23
96,96,20,5,5474,5457,785,Croatia,6,2,8658,23,22
97,97,5,9,5457,5469,785,Croatia,6,2,8658,22,20
98,98,9,12,5469,5463,785,Croatia,6,2,8658,20,19
99,99,12,2,5463,3471,785,Croatia,6,2,8658,19,26
100,100,2,1,3471,5461,785,Croatia,6,2,8658,26,27
101,101,1,16,5461,5465,785,Croatia,6,2,8658,27,24
102,102,1,12,5461,5463,785,Croatia,6,2,8658,27,19
103,103,12,1,5463,5461,785,Croatia,6,2,8658,19,27
104,104,12,14,5463,5470,785,Croatia,6,2,8658,19,21
105,105,4,0,5468,3444,785,Croatia,6,2,8658,25,29
106,106,0,2,3444,3471,785,Croatia,6,2,8658,29,26
107,107,2,9,3471,5469,785,Croatia,6,2,8658,26,20
108,108,9,12,5469,5463,785,Croatia,6,2,8658,20,19
109,109,12,1,5463,5461,785,Croatia,6,2,8658,19,27
110,110,1,12,5461,5463,785,Croatia,6,2,8658,27,19
111,111,12,20,5463,5474,785,Croatia,6,2,8658,19,23
112,112,14,16,5470,5465,785,Croatia,6,2,8658,21,24
113,113,14,2,5470,3471,785,Croatia,6,2,8658,21,26
114,114,1,14,5461,5470,785,Croatia,6,2,8658,27,21
115,115,14,4,5470,5468,785,Croatia,6,2,8658,21,25
116,116,12,16,5463,5465,785,Croatia,6,2,8658,19,24
117,117,9,12,5469,5463,785,Croatia,7,3,8658,30,31
118,118,12,9,5463,5469,785,Croatia,7,3,8658,31,30
119,119,9,1,5469,5461,785,Croatia,7,3,8658,30,32
120,120,1,2,5461,3471,785,Croatia,7,3,8658,32,33
121,121,2,4,3471,5468,785,Croatia,7,3,8658,33,34
122,122,4,2,5468,3471,785,Croatia,7,3,8658,34,33
123,123,2,12,3471,5463,785,Croatia,7,3,8658,33,31
124,124,12,1,5463,5461,785,Croatia,7,3,8658,31,32
125,125,22,12,5472,5463,785,Croatia,7,3,8658,35,31
126,126,12,1,5463,5461,785,Croatia,7,3,8658,31,32
127,127,9,1,5469,5461,785,Croatia,7,3,8658,30,32
128,128,1,2,5461,3471,785,Croatia,7,3,8658,32,33
129,129,2,14,3471,5470,785,Croatia,7,3,8658,33,36
130,130,14,16,5470,5465,785,Croatia,7,3,8658,36,37
131,131,12,2,5463,3471,785,Croatia,7,3,8658,31,33
132,132,22,16,5472,5465,785,Croatia,8,3,8658,35,37
133,133,1,9,5461,5469,785,Croatia,8,3,8658,32,30
134,134,9,1,5469,5461,785,Croatia,8,3,8658,30,32
135,135,1,9,5461,5469,785,Croatia,8,3,8658,32,30
136,136,9,2,5469,3471,785,Croatia,8,3,8658,30,33
137,137,2,4,3471,5468,785,Croatia,8,3,8658,33,34
138,138,4,14,5468,5470,785,Croatia,8,3,8658,34,36
139,139,14,5,5470,5457,785,Croatia,8,3,8658,36,38
140,140,5,14,5457,5470,785,Croatia,8,3,8658,38,36
141,141,14,9,5470,5469,785,Croatia,8,3,8658,36,30
142,142,9,12,5469,5463,785,Croatia,8,3,8658,30,31
143,143,12,9,5463,5469,785,Croatia,8,3,8658,31,30
144,144,16,1,5465,5461,785,Croatia,8,3,8658,37,32
145,145,12,9,5463,5469,785,Croatia,8,3,8658,31,30
146,146,9,12,5469,5463,785,Croatia,8,3,8658,30,31
147,147,12,16,5463,5465,785,Croatia,8,3,8658,31,37
148,148,9,1,5469,5461,785,Croatia,9,3,8658,30,32
149,149,1,12,5461,5463,785,Croatia,9,3,8658,32,31
150,150,12,14,5463,5470,785,Croatia,9,3,8658,31,36
151,151,14,4,5470,5468,785,Croatia,9,3,8658,36,34
152,152,4,9,5468,5469,785,Croatia,9,3,8658,34,30
153,153,9,14,5469,5470,785,Croatia,9,3,8658,30,36
154,154,14,12,5470,5463,785,Croatia,9,3,8658,36,31
155,155,5,20,5457,5474,785,Croatia,9,3,8658,38,39
156,156,5,14,5457,5470,785,Croatia,9,3,8658,38,36
157,157,14,22,5470,5472,785,Croatia,9,3,8658,36,35
158,158,5,20,5457,5474,785,Croatia,9,3,8658,38,39
159,159,4,12,5468,5463,785,Croatia,9,3,8658,34,31
160,160,9,4,5469,5468,785,Croatia,10,4,8658,40,41
161,161,4,20,5468,5474,785,Croatia,10,4,8658,41,42
162,162,9,12,5469,5463,785,Croatia,10,4,8658,40,43
163,163,12,1,5463,5461,785,Croatia,10,4,8658,43,44
164,164,1,9,5461,5469,785,Croatia,10,4,8658,44,40
165,165,9,2,5469,3471,785,Croatia,10,4,8658,40,45
166,166,2,4,3471,5468,785,Croatia,10,4,8658,45,41
167,167,4,14,5468,5470,785,Croatia,10,4,8658,41,46
168,168,14,16,5470,5465,785,Croatia,10,4,8658,46,47
