,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid,newfpos,newtpos,newfposname,newtposname
0,0,23,2,4319,5259,783,Uruguay,1,1,7578,0,1,3,1,Fw,Def
1,1,2,16,5259,5247,783,Uruguay,1,1,7578,1,2,1,2,Def,Mid
2,2,12,1,5255,5264,783,Uruguay,1,1,7578,3,4,2,1,Mid,Def
3,3,12,2,5255,5259,783,Uruguay,1,1,7578,3,1,2,1,Mid,Def
4,4,2,4,5259,5249,783,Uruguay,1,1,7578,1,5,1,1,Def,Def
5,5,4,12,5249,5255,783,Uruguay,1,1,7578,5,3,1,2,Def,Mid
6,6,12,4,5255,5249,783,Uruguay,1,1,7578,3,5,2,1,Mid,Def
7,7,4,14,5249,5260,783,Uruguay,1,1,7578,5,6,1,2,Def,Mid
8,8,14,20,5260,5258,783,Uruguay,1,1,7578,6,7,2,2,Mid,Mid
9,9,20,4,5258,5249,783,Uruguay,1,1,7578,7,5,2,1,Mid,Def
10,10,4,5,5249,5248,783,Uruguay,1,1,7578,5,8,1,1,Def,Def
11,11,5,4,5248,5249,783,Uruguay,1,1,7578,8,5,1,1,Def,Def
12,12,4,1,5249,5264,783,Uruguay,1,1,7578,5,4,1,1,Def,Def
13,13,1,12,5264,5255,783,Uruguay,1,1,7578,4,3,1,2,Def,Mid
14,14,1,14,5264,5260,783,Uruguay,1,1,7578,4,6,1,2,Def,Mid
15,15,14,5,5260,5248,783,Uruguay,1,1,7578,6,8,2,1,Mid,Def
16,16,5,20,5248,5258,783,Uruguay,1,1,7578,8,7,1,2,Def,Mid
17,17,20,2,5258,5259,783,Uruguay,1,1,7578,7,1,2,1,Mid,Def
18,18,2,4,5259,5249,783,Uruguay,1,1,7578,1,5,1,1,Def,Def
19,19,4,16,5249,5247,783,Uruguay,1,1,7578,5,2,1,2,Def,Mid
20,20,2,12,5259,5255,783,Uruguay,2,2,7578,1,3,1,2,Def,Mid
21,21,12,14,5255,5260,783,Uruguay,2,2,7578,3,6,2,2,Mid,Mid
22,22,14,16,5260,5247,783,Uruguay,2,2,7578,6,2,2,2,Mid,Mid
23,23,16,1,5247,5264,783,Uruguay,2,2,7578,2,4,2,1,Mid,Def
24,24,1,14,5264,5260,783,Uruguay,2,2,7578,4,6,1,2,Def,Mid
25,25,14,20,5260,5258,783,Uruguay,2,2,7578,6,7,2,2,Mid,Mid
26,26,20,21,5258,5246,783,Uruguay,2,2,7578,7,9,2,3,Mid,Fw
27,27,21,20,5246,5258,783,Uruguay,2,2,7578,9,7,3,2,Fw,Mid
28,28,5,4,5263,4063,774,Egypt,3,3,7578,10,11,1,1,Def,Def
29,29,4,2,4063,5254,774,Egypt,3,3,7578,11,12,1,1,Def,Def
30,30,2,4,5254,4063,774,Egypt,3,3,7578,12,11,1,1,Def,Def
31,31,4,12,4063,3568,774,Egypt,3,3,7578,11,13,1,2,Def,Mid
32,32,12,11,3568,5253,774,Egypt,3,3,7578,13,14,2,2,Mid,Mid
33,33,11,2,5253,5254,774,Egypt,3,3,7578,14,12,2,1,Mid,Def
34,34,2,4,5254,4063,774,Egypt,3,3,7578,12,11,1,1,Def,Def
35,35,4,15,4063,5261,774,Egypt,3,3,7578,11,15,1,2,Def,Mid
36,36,15,5,5261,5263,774,Egypt,4,4,7578,15,10,2,1,Mid,Def
37,37,5,14,5263,5262,774,Egypt,4,4,7578,10,16,1,2,Def,Mid
38,38,14,18,5262,5251,774,Egypt,4,4,7578,16,17,2,2,Mid,Mid
39,39,15,14,5261,5262,774,Egypt,4,4,7578,15,16,2,2,Mid,Mid
40,40,14,5,5262,5263,774,Egypt,4,4,7578,16,10,2,1,Mid,Def
41,41,5,4,5263,4063,774,Egypt,4,4,7578,10,11,1,1,Def,Def
42,42,4,15,4063,5261,774,Egypt,4,4,7578,11,15,1,2,Def,Mid
43,43,15,5,5261,5263,774,Egypt,4,4,7578,15,10,2,1,Mid,Def
44,44,5,18,5263,5251,774,Egypt,4,4,7578,10,17,1,2,Def,Mid
45,45,18,5,5251,5263,774,Egypt,4,4,7578,17,10,2,1,Mid,Def
46,46,5,18,5263,5251,774,Egypt,4,4,7578,10,17,1,2,Def,Mid
47,47,18,22,5251,5252,774,Egypt,4,4,7578,17,18,2,3,Mid,Fw
48,48,5,18,5263,5251,774,Egypt,4,4,7578,10,17,1,2,Def,Mid
49,49,5,18,5263,5251,774,Egypt,4,4,7578,10,17,1,2,Def,Mid
50,50,18,15,5251,5261,774,Egypt,4,4,7578,17,15,2,2,Mid,Mid
51,51,12,14,3568,5262,774,Egypt,5,5,7578,13,16,2,2,Mid,Mid
52,52,14,4,5262,4063,774,Egypt,5,5,7578,16,11,2,1,Mid,Def
53,53,4,5,4063,5263,774,Egypt,5,5,7578,11,10,1,1,Def,Def
54,54,5,12,5263,3568,774,Egypt,5,5,7578,10,13,1,2,Def,Mid
